"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
1,96016111,"ehafner (17/Unl.)",0,211.50,"(SS) Andres Blanco ,(OF) Jeff Francoeur ,(OF) Brett Gardner ,(P) Chris Archer ,(P) Madison Bumgarner ,(OF) A.J. Pollock ,(1B) Paul Goldschmidt ,(2B) Cesar Hernandez ,(C) Cameron Rupp ,(3B) Maikel Franco "
1,96026157,"ehafner (5/Unl.)",0,211.50,"(SS) Andres Blanco ,(OF) Jeff Francoeur ,(OF) Brett Gardner ,(P) Chris Archer ,(P) Madison Bumgarner ,(OF) A.J. Pollock ,(1B) Paul Goldschmidt ,(2B) Cesar Hernandez ,(C) Cameron Rupp ,(3B) Maikel Franco "
3,96015568,"OldBonebags (2/Unl.)",0,209.15,"(3B) Alex Rodriguez ,(OF) Carlos Beltran ,(OF) Garrett Jones ,(SS) Andres Blanco ,(C) Brian McCann ,(2B) Ben Zobrist ,(OF) Brett Gardner ,(P) Madison Bumgarner ,(P) Mike Montgomery ,(1B) Paul Goldschmidt "
4,96068244,"geotico (11/Unl.)",0,206.15,"(OF) Carlos Beltran ,(SS) Troy Tulowitzki ,(P) Madison Bumgarner ,(OF) Ben Revere ,(C) Wilin Rosario ,(P) Mike Montgomery ,(OF) Charlie Blackmon ,(3B) Nolan Arenado ,(2B) DJ LeMahieu ,(1B) Ben Paulsen "
5,96042923,"charliedietz (1/Unl.)",0,205.25,"(SS) Asdrubal Cabrera ,(OF) Andrew McCutchen ,(C) Francisco Cervelli ,(OF) David Peralta ,(P) Madison Bumgarner ,(2B) Logan Forsythe ,(OF) Dustin Ackley ,(1B) Paul Goldschmidt ,(P) Carlos Martinez ,(3B) Maikel Franco "
6,96048135,"philly1345 (5/Unl.)",0,201.95,"(OF) Carlos Beltran ,(3B) Andres Blanco ,(C) Brian McCann ,(OF) Andrew McCutchen ,(OF) Brett Gardner ,(P) Chris Archer ,(1B) Paul Goldschmidt ,(2B) Cesar Hernandez ,(P) Carlos Martinez ,(SS) Carlos Correa "
7,96048359,"sporto23 (1/Unl.)",0,200.35,"(OF) Brett Gardner ,(C) Nick Hundley ,(3B) Evan Longoria ,(P) Jeff Samardzija ,(P) Chris Archer ,(2B) Anthony Rendon ,(1B) Jose Abreu ,(OF) Dustin Ackley ,(OF) A.J. Pollock ,(SS) Carlos Correa "
8,96063168,"FabFive75 (7/Unl.)",0,198.25,"(C) Dioner Navarro ,(2B) Neil Walker ,(OF) Brett Gardner ,(P) Madison Bumgarner ,(1B) Todd Frazier ,(OF) A.J. Pollock ,(SS) Cesar Hernandez ,(OF) Gregory Polanco ,(P) Carlos Martinez ,(3B) Maikel Franco "
9,96067348,"geotico (9/Unl.)",0,198.15,"(SS) Troy Tulowitzki ,(P) Madison Bumgarner ,(OF) Ben Revere ,(C) Wilin Rosario ,(P) Mike Montgomery ,(OF) Charlie Blackmon ,(3B) Nolan Arenado ,(2B) DJ LeMahieu ,(1B) Ben Paulsen ,(OF) Brock Holt "
10,96046736,"donnydeals (1/Unl.)",0,197.50,"(3B) Alex Rodriguez ,(1B) Garrett Jones ,(SS) Andres Blanco ,(C) Brian McCann ,(OF) Chris Young ,(OF) Brett Gardner ,(P) David Price ,(P) Madison Bumgarner ,(OF) Efren Navarro ,(2B) Cesar Hernandez "
11,96049989,"RebelDawg (1/Unl.)",0,197.25,"(1B) Garrett Jones ,(OF) Brett Gardner ,(C) Welington Castillo ,(OF) David Peralta ,(P) Madison Bumgarner ,(2B) Eric Sogard ,(OF) A.J. Pollock ,(3B) Nolan Arenado ,(SS) Hernan Perez ,(P) Carlos Martinez "
12,96043913,"bcan14 (2/Unl.)",0,196.60,"(3B) Alex Rodriguez ,(OF) Andrew McCutchen ,(OF) Brett Gardner ,(C) Matt Wieters ,(P) Mike Montgomery ,(OF) Charlie Blackmon ,(2B) Jose Altuve ,(1B) Paul Goldschmidt ,(P) Carlos Martinez ,(SS) Carlos Correa "
13,96066226,"sharetheluck (1/Unl.)",0,196.40,"(C) Dioner Navarro ,(P) Zack Greinke ,(OF) Andrew McCutchen ,(OF) Brett Gardner ,(1B) Pedro Alvarez ,(OF) Billy Burns ,(2B) Anthony Rendon ,(P) Mike Fiers ,(3B) Maikel Franco ,(SS) Carlos Correa "
14,96027768,"antimo13 (1/Unl.)",0,195.50,"(1B) Prince Fielder ,(OF) Brett Gardner ,(P) Chris Archer ,(P) Madison Bumgarner ,(3B) Todd Frazier ,(SS) Andrew Romine ,(2B) Logan Forsythe ,(OF) Dustin Ackley ,(OF) Billy Hamilton ,(C) Cameron Rupp "
15,96046868,"offdahookbrdr (1/Unl.)",0,192.95,"(2B) Ben Zobrist ,(OF) Brett Gardner ,(P) Chris Archer ,(OF) Billy Burns ,(OF) Dustin Ackley ,(C) Josh Phegley ,(1B) Ben Paulsen ,(3B) Jake Lamb ,(P) Carlos Martinez ,(SS) Carlos Correa "
16,96053648,"richak1226 (1/Unl.)",0,192.25,"(3B) Aramis Ramirez ,(OF) Carlos Beltran ,(OF) Garrett Jones ,(OF) Brett Gardner ,(C) Welington Castillo ,(P) Madison Bumgarner ,(1B) Paul Goldschmidt ,(2B) Cesar Hernandez ,(P) Carlos Martinez ,(SS) Carlos Correa "
17,96063199,"jsh1122 (2/Unl.)",0,191.90,"(OF) Jose Bautista ,(C) Miguel Montero ,(1B) Miguel Cabrera ,(OF) Brett Gardner ,(P) Madison Bumgarner ,(OF) Joey Butler ,(P) Collin McHugh ,(2B) Cesar Hernandez ,(3B) Maikel Franco ,(SS) Carlos Correa "
18,96067332,"maxdalury (85/Unl.)",0,191.80,"(3B) Alex Rodriguez ,(OF) Carlos Beltran ,(1B) Garrett Jones ,(OF) Chris Young ,(SS) Troy Tulowitzki ,(OF) Brett Gardner ,(P) Madison Bumgarner ,(C) Wilin Rosario ,(P) Mike Fiers ,(2B) Cesar Hernandez "
19,96051352,"ng383 (1/Unl.)",0,191.25,"(OF) Nick Markakis ,(P) Madison Bumgarner ,(1B) Todd Frazier ,(C) Jonathan Lucroy ,(OF) David Lough ,(OF) Joey Butler ,(2B) DJ LeMahieu ,(P) Carlos Martinez ,(3B) Maikel Franco ,(SS) Carlos Correa "
20,96050583,"KobeSystem248 (1/Unl.)",0,190.25,"(1B) Mike Napoli ,(SS) Andres Blanco ,(C) Brian McCann ,(OF) Brett Gardner ,(P) Madison Bumgarner ,(OF) A.J. Pollock ,(OF) Brock Holt ,(2B) Cesar Hernandez ,(P) Carlos Martinez ,(3B) Maikel Franco "
21,96046875,"philly1345 (3/Unl.)",0,189.95,"(OF) Carlos Beltran ,(3B) Andres Blanco ,(C) Brian McCann ,(OF) Brett Gardner ,(P) Chris Archer ,(OF) David Peralta ,(1B) Paul Goldschmidt ,(2B) Cesar Hernandez ,(P) Carlos Martinez ,(SS) Carlos Correa "
22,96058364,"Appexx68 (7/Unl.)",0,189.10,"(3B) Alex Rodriguez ,(OF) Carlos Beltran ,(1B) Garrett Jones ,(C) Brian McCann ,(2B) Ben Zobrist ,(OF) Brett Gardner ,(P) Jeff Samardzija ,(OF) David Peralta ,(P) Carlos Martinez ,(SS) Carlos Correa "
23,96064809,"waterboyalz (10/Unl.)",0,188.95,"(2B) Neil Walker ,(OF) Brett Gardner ,(3B) Chase Headley ,(P) Chris Archer ,(OF) A.J. Pollock ,(1B) Paul Goldschmidt ,(OF) Gregory Polanco ,(C) Cameron Rupp ,(P) Carlos Martinez ,(SS) Carlos Correa "
24,96049875,"bgizzle714 (6/Unl.)",0,188.85,"(3B) Alex Rodriguez ,(OF) Brett Gardner ,(P) Chris Archer ,(C) Matt Wieters ,(P) Mike Montgomery ,(OF) Charlie Blackmon ,(2B) Jose Altuve ,(1B) Paul Goldschmidt ,(OF) Gregory Polanco ,(SS) Carlos Correa "
25,96049122,"coupleofsnipes (2/Unl.)",0,188.50,"(2B) Robinson Cano ,(OF) Seth Smith ,(1B) Logan Morrison ,(P) Chris Archer ,(C) Welington Castillo ,(P) Madison Bumgarner ,(OF) Charlie Blackmon ,(OF) Dustin Ackley ,(3B) Kyle Seager ,(SS) Nick Ahmed "
26,96047561,"philly1345 (4/Unl.)",0,187.95,"(OF) Ryan Raburn ,(3B) Andres Blanco ,(C) Brian McCann ,(OF) Brett Gardner ,(P) Chris Archer ,(OF) Charlie Blackmon ,(1B) Paul Goldschmidt ,(2B) Cesar Hernandez ,(P) Carlos Martinez ,(SS) Carlos Correa "
26,96051461,"edclt12626 (1/Unl.)",0,187.95,"(1B) Adam LaRoche ,(2B) Robinson Cano ,(P) Chris Archer ,(C) Jonathan Lucroy ,(OF) A.J. Pollock ,(OF) Michael A. Taylor ,(P) Carlos Martinez ,(3B) Maikel Franco ,(OF) Mookie Betts ,(SS) Carlos Correa "
28,96055676,"bigboyd3 (2/Unl.)",0,187.75,"(1B) Joey Votto ,(P) Ubaldo Jimenez ,(2B) Luis Valbuena ,(OF) Jay Bruce ,(OF) Brett Gardner ,(P) Madison Bumgarner ,(3B) Todd Frazier ,(OF) Billy Hamilton ,(C) Tucker Barnhart ,(SS) Eugenio Suarez "
29,96062465,"R323 (1/Unl.)",0,187.15,"(SS) Troy Tulowitzki ,(C) Wilin Rosario ,(P) Mike Montgomery ,(OF) Charlie Blackmon ,(OF) Avisail Garcia ,(OF) A.J. Pollock ,(3B) Nolan Arenado ,(2B) DJ LeMahieu ,(1B) Paul Goldschmidt ,(P) Mike Fiers "
30,96064804,"waterboyalz (5/Unl.)",0,186.95,"(3B) Alex Rodriguez ,(1B) Garrett Jones ,(C) Brian McCann ,(2B) Neil Walker ,(OF) Brett Gardner ,(P) Chris Archer ,(OF) A.J. Pollock ,(OF) Gregory Polanco ,(P) Carlos Martinez ,(SS) Carlos Correa "
31,96065911,"bigboyd3 (1/Unl.)",0,186.75,"(P) Jason Hammel ,(SS) Asdrubal Cabrera ,(OF) Andrew McCutchen ,(OF) Brett Gardner ,(C) Francisco Cervelli ,(OF) David Peralta ,(P) Madison Bumgarner ,(2B) Derek Dietrich ,(3B) Pedro Alvarez ,(1B) Jose Abreu "
32,96050417,"bushmanwild (1/Unl.)",0,186.50,"(OF) Andrew McCutchen ,(OF) Ryan Braun ,(C) Francisco Cervelli ,(P) Chris Archer ,(P) Madison Bumgarner ,(1B) Wilin Rosario ,(2B) Anthony Rendon ,(OF) Jake Elmore ,(SS) Didi Gregorius ,(3B) Nolan Arenado "
32,96064271,"Nexus (2/Unl.)",0,186.50,"(OF) Carlos Beltran ,(1B) Garrett Jones ,(2B) Robinson Cano ,(OF) Jeff Francoeur ,(C) Brian McCann ,(OF) Brett Gardner ,(P) Chris Archer ,(P) Madison Bumgarner ,(SS) Cesar Hernandez ,(3B) Maikel Franco "
34,96053972,"mbaldwin4 (1/Unl.)",0,185.75,"(P) Jason Hammel ,(OF) Brandon Barnes ,(C) Welington Castillo ,(2B) Jose Altuve ,(OF) A.J. Pollock ,(1B) Paul Goldschmidt ,(P) Mike Fiers ,(3B) Maikel Franco ,(OF) Kevin Pillar ,(SS) Carlos Correa "
35,96052738,"jaezee (1/Unl.)",0,185.50,"(2B) Robinson Cano ,(SS) Asdrubal Cabrera ,(OF) Seth Smith ,(OF) Brett Gardner ,(1B) Logan Morrison ,(P) Chris Archer ,(P) Madison Bumgarner ,(C) Jonathan Lucroy ,(OF) Dustin Ackley ,(3B) Kyle Seager "
36,96059591,"leblanc13 (1/Unl.)",0,185.35,"(C) Russell Martin ,(OF) Brett Gardner ,(1B) Logan Morrison ,(OF) Steven Souza Jr. ,(P) Collin McHugh ,(2B) Kolten Wong ,(OF) A.J. Pollock ,(3B) Nolan Arenado ,(P) Carlos Martinez ,(SS) Carlos Correa "
