"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
1,96668050,"Stuball (14/Unl.)",0,201.75,"(OF) Gregor Blanco ,(1B) Brandon Belt ,(C) Buster Posey ,(SS) Brandon Crawford ,(P) Chris Heston ,(OF) A.J. Pollock ,(P) Jacob deGrom ,(2B) Joe Panik ,(3B) Matt Duffy ,(OF) Yoenis Cespedes "
2,96665204,"mazwa (25/Unl.)",0,190.80,"(OF) Angel Pagan ,(P) Jon Lester ,(1B) Brandon Belt ,(C) Buster Posey ,(OF) Charlie Blackmon ,(SS) Brandon Crawford ,(OF) A.J. Pollock ,(P) Jacob deGrom ,(2B) Joe Panik ,(3B) Matt Duffy "
3,96644760,"underjones (3/Unl.)",0,186.10,"(OF) Angel Pagan ,(OF) Rajai Davis ,(OF) Denard Span ,(1B) Brandon Belt ,(C) Buster Posey ,(SS) Brandon Crawford ,(P) Sonny Gray ,(P) Jacob deGrom ,(2B) Joe Panik ,(3B) Matt Duffy "
4,96639012,"jj3384 (5/Unl.)",0,182.65,"(OF) Angel Pagan ,(3B) Miguel Cabrera ,(1B) Brandon Belt ,(C) Buster Posey ,(OF) Charlie Blackmon ,(SS) Brandon Crawford ,(P) Sonny Gray ,(P) Chris Heston ,(OF) A.J. Pollock ,(2B) Joe Panik "
5,96623797,"Mercutioner (4/Unl.)",0,175.25,"(OF) Angel Pagan ,(1B) Stephen Vogt ,(C) Buster Posey ,(OF) Charlie Blackmon ,(OF) A.J. Pollock ,(3B) Nolan Arenado ,(P) Jacob deGrom ,(SS) Xander Bogaerts ,(2B) Joe Panik ,(P) Carlos Rodon "
6,96580955,"saeguy1856 (1/Unl.)",0,173.75,"(OF) Angel Pagan ,(1B) Prince Fielder ,(OF) Curtis Granderson ,(P) Doug Fister ,(C) Buster Posey ,(OF) Charlie Blackmon ,(SS) Brandon Crawford ,(3B) Manny Machado ,(P) Jacob deGrom ,(2B) Joe Panik "
7,96523927,"ffjhollings (1/Unl.)",0,170.75,"(OF) Angel Pagan ,(1B) Brandon Belt ,(C) Buster Posey ,(P) Chris Heston ,(OF) J.D. Martinez ,(SS) Marcus Semien ,(OF) Bryce Harper ,(P) Jacob deGrom ,(2B) Joe Panik ,(3B) Matt Duffy "
7,96552423,"r4791827 (2/Unl.)",0,170.75,"(OF) Gregor Blanco ,(OF) Melvin Upton Jr. ,(OF) Chris Parmelee ,(C) Buster Posey ,(SS) Brandon Crawford ,(P) Chris Heston ,(1B) Paul Goldschmidt ,(3B) Manny Machado ,(P) Jacob deGrom ,(2B) Joe Panik "
9,96574463,"Spartan2170 (2/Unl.)",0,170.10,"(OF) Ben Zobrist ,(OF) Brandon Barnes ,(1B) Brandon Belt ,(OF) Josh Reddick ,(C) Buster Posey ,(SS) Brandon Crawford ,(P) Sonny Gray ,(3B) Marcus Semien ,(P) Jacob deGrom ,(2B) Joe Panik "
10,96678297,"firedad1 (1/Unl.)",0,167.30,"(C) Buster Posey ,(OF) Charlie Blackmon ,(P) Taylor Jungmann ,(P) Carlos Frias ,(OF) A.J. Pollock ,(3B) Nolan Arenado ,(1B) Paul Goldschmidt ,(OF) J.D. Martinez ,(SS) Nick Ahmed ,(2B) Joe Panik "
11,96615499,"dobbydog1 (1/Unl.)",0,166.75,"(1B) Prince Fielder ,(3B) Miguel Cabrera ,(OF) Nick Markakis ,(OF) Chris Parmelee ,(C) Buster Posey ,(SS) Brandon Crawford ,(P) Chris Heston ,(OF) A.J. Pollock ,(P) Jacob deGrom ,(2B) Joe Panik "
12,96478129,"zkb1982 (1/Unl.)",0,164.75,"(2B) Ian Kinsler ,(OF) Steve Pearce ,(1B) Chris Davis ,(P) Doug Fister ,(C) Matt Wieters ,(SS) Kike Hernandez ,(OF) J.D. Martinez ,(3B) Manny Machado ,(P) Jacob deGrom ,(OF) Alex Guerrero "
12,96674101,"Nm1k0 (1/Unl.)",0,164.75,"(1B) Victor Martinez ,(OF) Rajai Davis ,(2B) Ian Kinsler ,(C) Stephen Vogt ,(OF) Charlie Blackmon ,(SS) Brandon Crawford ,(P) Chris Heston ,(OF) A.J. Pollock ,(P) Jacob deGrom ,(3B) Alex Guerrero "
14,96669874,"BrandonAdams (3/Unl.)",0,161.75,"(1B) Adam LaRoche ,(SS) Ian Desmond ,(P) Doug Fister ,(OF) Josh Reddick ,(C) Matt Wieters ,(OF) A.J. Pollock ,(2B) Chris Owings ,(P) Jacob deGrom ,(OF) Adam Eaton ,(3B) Yasmany Tomas "
14,96669875,"BrandonAdams (4/Unl.)",0,161.75,"(1B) Adam LaRoche ,(SS) Ian Desmond ,(P) Doug Fister ,(OF) Josh Reddick ,(C) Matt Wieters ,(OF) A.J. Pollock ,(2B) Chris Owings ,(P) Jacob deGrom ,(OF) Adam Eaton ,(3B) Yasmany Tomas "
16,96562253,"bcalicore (1/Unl.)",0,160.75,"(OF) Rajai Davis ,(2B) Justin Turner ,(C) Wilin Rosario ,(OF) Charlie Blackmon ,(P) Chris Heston ,(3B) Nolan Arenado ,(1B) Ben Paulsen ,(SS) Kike Hernandez ,(P) Jacob deGrom ,(OF) Adam Eaton "
17,96684395,"idgaf19 (4/Unl.)",0,157.65,"(SS) J.J. Hardy ,(2B) Ian Kinsler ,(OF) Delmon Young ,(OF) Nolan Reimold ,(OF) Steve Pearce ,(C) Matt Wieters ,(P) Taylor Jungmann ,(1B) Paul Goldschmidt ,(3B) Manny Machado ,(P) Jacob deGrom "
18,96685257,"Ninjaman31 (1/Unl.)",0,156.65,"(2B) Aaron Hill ,(SS) Ian Desmond ,(C) Stephen Vogt ,(1B) Buster Posey ,(OF) Charlie Blackmon ,(P) Sonny Gray ,(P) Chris Heston ,(OF) J.D. Martinez ,(OF) Adam Eaton ,(3B) Joey Gallo "
19,96659938,"zpm1101 (1/Unl.)",0,156.00,"(OF) Rajai Davis ,(2B) Ian Kinsler ,(OF) Delmon Young ,(SS) Ian Desmond ,(P) Miguel Gonzalez ,(3B) Chris Davis ,(C) Buster Posey ,(P) Chris Heston ,(OF) A.J. Pollock ,(1B) Paul Goldschmidt "
