"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
1,96723678,"waterboyalz (5/Unl.)",0,179.95,"(2B) Brandon Phillips ,(1B) Joey Votto ,(OF) Andrew McCutchen ,(OF) Colby Rasmus ,(C) Francisco Cervelli ,(3B) Todd Frazier ,(P) Lance Lynn ,(SS) Jordy Mercer ,(P) Dallas Keuchel ,(OF) Gregory Polanco "
2,96562088,"shawnzhan (1/Unl.)",0,173.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(OF) Andrew McCutchen ,(3B) Todd Frazier ,(P) Lance Lynn ,(P) Dallas Keuchel ,(SS) Eugenio Suarez ,(OF) George Springer "
2,96723413,"paulbertini (2/Unl.)",0,173.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(3B) Todd Frazier ,(P) Lance Lynn ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(OF) George Springer ,(SS) Jung Ho Kang "
2,96726702,"schwargo (5/Unl.)",0,173.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Lance Lynn ,(OF) Josh Harrison ,(P) Dallas Keuchel ,(SS) Eugenio Suarez "
5,96729116,"1SpawnOnly (2/Unl.)",0,171.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(OF) Colby Rasmus ,(3B) Todd Frazier ,(P) Lance Lynn ,(P) Dallas Keuchel ,(OF) George Springer ,(SS) Jung Ho Kang "
6,96581137,"buzbreaty (9/Unl.)",0,171.55,"(P) A.J. Burnett ,(2B) Brandon Phillips ,(C) Brayan Pena ,(1B) Joey Votto ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Eugenio Suarez ,(OF) Preston Tucker "
6,96581138,"buzbreaty (10/Unl.)",0,171.55,"(P) A.J. Burnett ,(2B) Brandon Phillips ,(C) Brayan Pena ,(1B) Joey Votto ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Eugenio Suarez ,(OF) Preston Tucker "
8,96731653,"DCarrasco22 (1/Unl.)",0,169.60,"(2B) Brandon Phillips ,(1B) Joey Votto ,(OF) Andrew McCutchen ,(C) Francisco Cervelli ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(OF) Billy Hamilton ,(P) Adam Warren ,(P) Dallas Keuchel ,(SS) Jung Ho Kang "
9,96730091,"BeepImaJeep (1/Unl.)",0,168.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(3B) Todd Frazier ,(P) Lance Lynn ,(OF) Josh Harrison ,(P) Dallas Keuchel ,(SS) Eugenio Suarez ,(OF) George Springer "
10,96672110,"Crookedcops (1/Unl.)",0,168.75,"(OF) Marlon Byrd ,(P) Dan Haren ,(C) Francisco Cervelli ,(1B) Todd Frazier ,(OF) Giancarlo Stanton ,(2B) Jose Altuve ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(3B) Adeiny Hechavarria ,(SS) Jung Ho Kang "
11,96727880,"mray6288 (1/Unl.)",0,165.75,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(P) Dan Haren ,(OF) Andrew McCutchen ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Dallas Keuchel ,(SS) Jung Ho Kang "
12,96707776,"scrubhunter (3/Unl.)",0,164.95,"(2B) Brandon Phillips ,(C) Brayan Pena ,(1B) Joey Votto ,(OF) Andrew McCutchen ,(SS) Marwin Gonzalez ,(OF) Jason Heyward ,(3B) Todd Frazier ,(P) Lance Lynn ,(P) Dallas Keuchel ,(OF) Gregory Polanco "
12,96723346,"WPalmer2014 (4/Unl.)",0,164.95,"(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(OF) Andrew McCutchen ,(3B) Todd Frazier ,(P) Lance Lynn ,(2B) Kolten Wong ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Eugenio Suarez "
14,96720061,"thebayway24 (1/Unl.)",0,162.95,"(1B) Joey Votto ,(OF) Andrew McCutchen ,(3B) Todd Frazier ,(P) Lance Lynn ,(2B) Kolten Wong ,(OF) Billy Hamilton ,(C) John Ryan Murphy ,(P) Dallas Keuchel ,(OF) Preston Tucker ,(SS) Jung Ho Kang "
15,96708321,"HoldemJunkie (1/Unl.)",0,159.95,"(OF) Skip Schumaker ,(OF) Chris Young ,(3B) Luis Valbuena ,(C) Francisco Cervelli ,(1B) Todd Frazier ,(P) Lance Lynn ,(2B) Jose Altuve ,(OF) Randal Grichuk ,(P) Dallas Keuchel ,(SS) Carlos Correa "
16,96726495,"mfresh299 (1/Unl.)",0,158.95,"(C) Yadier Molina ,(2B) Neil Walker ,(OF) Andrew McCutchen ,(OF) Jason Heyward ,(3B) Todd Frazier ,(SS) Pete Kozma ,(P) Lance Lynn ,(P) Dallas Keuchel ,(1B) Evan Gattis ,(OF) Preston Tucker "
17,96711992,"mattclow (1/Unl.)",0,158.60,"(1B) Joey Votto ,(OF) Andrew McCutchen ,(C) Francisco Cervelli ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(2B) Kolten Wong ,(OF) Billy Hamilton ,(P) Adam Warren ,(P) Dallas Keuchel ,(SS) Adeiny Hechavarria "
18,96719347,"craddock13 (1/Unl.)",0,158.55,"(P) A.J. Burnett ,(3B) Mark Reynolds ,(C) Francisco Cervelli ,(1B) Todd Frazier ,(SS) Jordy Mercer ,(2B) Jose Altuve ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(OF) Gregory Polanco ,(OF) Preston Tucker "
19,96704992,"Ryanwalis (1/Unl.)",0,157.95,"(3B) Mark Reynolds ,(OF) Andrew McCutchen ,(C) Francisco Cervelli ,(OF) Jason Heyward ,(P) Lance Lynn ,(2B) Jose Altuve ,(P) Dallas Keuchel ,(1B) Evan Gattis ,(OF) Preston Tucker ,(SS) Jung Ho Kang "
20,96713825,"Snuff67 (1/Unl.)",0,157.75,"(3B) Luis Valbuena ,(OF) Jason Heyward ,(1B) Todd Frazier ,(P) Anthony DeSclafani ,(2B) Jose Altuve ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(OF) Gregory Polanco ,(SS) Adeiny Hechavarria ,(C) J.T. Realmuto "
