Rank,EntryId,EntryName,TimeRemaining,Points,Lineup
1,96740976,jonathan627 (2/Unl.),0,183.95,"(2B) Brandon Phillips ,(C) Brayan Pena ,(1B) Joey Votto ,(OF) Andrew McCutchen ,(OF) Jason Heyward ,(3B) Todd Frazier ,(P) Lance Lynn ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Jung Ho Kang "
2,96743646,bradgruwell (1/Unl.),0,179.95,"(C) Brayan Pena ,(OF) Chris Young ,(3B) Luis Valbuena ,(1B) Todd Frazier ,(P) Lance Lynn ,(2B) Jose Altuve ,(OF) Randal Grichuk ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Jung Ho Kang "
3,96726755,MotownMauler (3/Unl.),0,177.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(1B) Joey Votto ,(C) Francisco Cervelli ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Lance Lynn ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Eugenio Suarez "
3,96739721,Rotomania (2/Unl.),0,177.95,"(2B) Brandon Phillips ,(C) Brayan Pena ,(1B) Joey Votto ,(OF) Jason Heyward ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Lance Lynn ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Eugenio Suarez "
5,96731857,oldcourse02 (5/Unl.),0,176.95,"(2B) Brandon Phillips ,(C) Brayan Pena ,(1B) Joey Votto ,(OF) Andrew McCutchen ,(OF) Colby Rasmus ,(3B) Todd Frazier ,(P) Lance Lynn ,(P) Dallas Keuchel ,(SS) Eugenio Suarez ,(OF) George Springer "
6,96709739,WILLSWAGGER (2/Unl.),0,176.75,"(2B) Brandon Phillips ,(1B) Joey Votto ,(OF) Andrew McCutchen ,(C) Francisco Cervelli ,(OF) Jason Heyward ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Anthony DeSclafani ,(P) Dallas Keuchel ,(SS) Adeiny Hechavarria "
7,96749459,DraftMaster_Adam (1/Unl.),0,175.95,"(2B) Neil Walker ,(OF) Colby Rasmus ,(C) Francisco Cervelli ,(3B) Todd Frazier ,(P) Lance Lynn ,(OF) Randal Grichuk ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(SS) Adeiny Hechavarria ,(1B) Evan Gattis "
8,96562087,shawnzhan (1/Unl.),0,173.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(OF) Andrew McCutchen ,(3B) Todd Frazier ,(P) Lance Lynn ,(P) Dallas Keuchel ,(SS) Eugenio Suarez ,(OF) George Springer "
8,96601218,koknballz (4/Unl.),0,173.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Lance Lynn ,(OF) Josh Harrison ,(P) Dallas Keuchel ,(SS) Eugenio Suarez "
8,96716289,paulbertini (2/Unl.),0,173.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(3B) Todd Frazier ,(P) Lance Lynn ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(OF) George Springer ,(SS) Jung Ho Kang "
8,96726037,montezuma88 (1/Unl.),0,173.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(3B) Todd Frazier ,(P) Lance Lynn ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(OF) George Springer ,(SS) Jung Ho Kang "
8,96726572,MotownMauler (1/Unl.),0,173.95,"(2B) Brandon Phillips ,(OF) Marlon Byrd ,(C) Brayan Pena ,(1B) Joey Votto ,(3B) Todd Frazier ,(P) Lance Lynn ,(OF) Billy Hamilton ,(P) Dallas Keuchel ,(OF) George Springer ,(SS) Jung Ho Kang "
